"Colaborador","Roles","Sexo.x","PaisOrigen.x","Nacimiento.x","Muerte.x","NombreR","Titulo","Fecha.ISO","Tipo","CantidadPaginas","Traduccion","Traductor"
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-11-01","Imagen",0.3,"No",NA
"D'Annunzio, Gabriele","Creador","M","Italia","1863","1938","Revista Contemporánea. Publicación mensual","Mujeres","1904-11-01","Poesía",1.7,"Sí","Valencia, Guillermo"
"D'Annunzio, Gabriele","Creador","M","Italia","1863","1938","Revista Contemporánea. Publicación mensual","Le Donne","1904-11-01","Poesía",1.7,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-11-01","Imagen",0.3,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-11-01","Imagen",0.3,"No",NA
"García Ortiz, Laureano","Creador","M","Colombia","1867","1945","Revista Contemporánea. Publicación mensual","Fantasía de un bibliófilo","1904-11-01","Prosa Ficción",15.7,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-11-01","Imagen",0.1,"No",NA
"Gómez Restrepo, Antonio","Creador","M","Colombia","1869","1947","Revista Contemporánea. Publicación mensual","El bautismo de pisa","1904-11-01","Poesía",0.9,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-11-01","Imagen",0.1,"No",NA
"Gómez Restrepo, Antonio","Creador","M","Colombia","1869","1947","Revista Contemporánea. Publicación mensual","Santa Cecilia","1904-11-01","Poesía",0.9,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-11-01","Imagen",0.1,"No",NA
"Carvajal, Manuel Antonio","Creador","M","Colombia","1886","1942","Revista Contemporánea. Publicación mensual","Simbolismos de la floresta. I. El lirio","1904-11-01","Poesía",0.9,"No",NA
"Carvajal, Manuel Antonio","Creador","M","Colombia","1886","1942","Revista Contemporánea. Publicación mensual","Simbolismos de lafloresta. II. Orquidea solitaria","1904-11-01","Poesía",1,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","El impresionismo en Bogotá","1904-11-01","Prosa No Ficción",10.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-11-01","Imagen",0.5,"No",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","La Revue des Idees","1904-11-01","Reseña de revista",15.3,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","Los japoneses juzgados por un americano","1904-11-01","Prosa No Ficción",1.4,"Sí",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Ideas","1904-11-01","Reseña de revista",0.5,"No",NA
"Rojas, Julio A.","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","El alma de la raza","1904-11-01","Prosa Ficción",1.3,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","Degeneración","1904-11-01","Prosa No Ficción",2.5,"No",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Harpas en el silencio","1904-11-01","Reseña",1,"No",NA
"Díaz Romero, Eugenio","Creador","M","Argentina","1877","1927","Revista Contemporánea. Publicación mensual","Doliente","1904-11-01","Poesía",0.5,"No",NA
"Heredia Márquez, Francisco de","Creador","M","Colombia","1889","1927","Revista Contemporánea. Publicación mensual","Opiniones del Bachiller Niemand","1904-11-01","Prosa No Ficción",4.8,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Salve","1904-11-01","Prosa No Ficción",0.7,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-11-01","Prosa No Ficción",0.3,"No",NA
"Anónimo","Redactor",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-11-01","Prosa No Ficción",0.3,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","Tierras lejanas","1904-11-01","Reseña",3,"No",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Pequeña ópera Lírica","1904-11-01","Reseña",2.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Guillermo Valencia","1904-11-01","Prosa No Ficción",0.2,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","Revista Contemporánea. Publicación mensual","1904-12-01","Prosa No Ficción",2,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","Pérez Triana. Escritor inglés","1904-12-01","Prosa No Ficción",5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-12-01","Imagen",0.2,"No",NA
"Grillo, Maximiliano","Creador","M","Colombia","1868","1949","Revista Contemporánea. Publicación mensual","Sol lejano","1904-12-01","Poesía",0.8,"No",NA
"Prudhomme, Sully","Creador","M","Francia","1839","1907","Revista Contemporánea. Publicación mensual","Ici-Bas","1904-12-01","Poesía",1,"Sí","Grillo, Maximiliano"
"Arce, Julio César","Creador","M","Colombia","1885","1927","Revista Contemporánea. Publicación mensual","Opacidades","1904-12-01","Poesía",1,"No",NA
"Samper, Emilio","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Stéphane Mallarmé","1904-12-01","Prosa No Ficción",2.5,"No",NA
"Mallarmé, Stéphane","Creador","M","Francia","1842","1898","Revista Contemporánea. Publicación mensual","El Nenufar Blanco","1904-12-01","Prosa Ficción",3.5,"Sí",NA
"Pereira Gamba, Fortunato","Creador","M","Colombia","1866","1936","Revista Contemporánea. Publicación mensual","Minas de esmeralda en Colombia","1904-12-01","Prosa No Ficción",5.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-12-01","Imagen",0.5,"No",NA
"Acosta, Javier","Creador","M","Colombia","","","Revista Contemporánea. Publicación mensual","Leopoldo Lugones","1904-12-01","Prosa No Ficción",7.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-12-01","Imagen",0.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-12-01","Imagen",0.5,"No",NA
"Ortega, Alfredo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","La arquitectura de Bogotá","1904-12-01","Prosa No Ficción",12.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-12-01","Imagen",0.5,"No",NA
"Valencia, Francisco","Creador","M","Colombia","","1932","Revista Contemporánea. Publicación mensual","La visión de los Helenos","1904-12-01","Poesía",1.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-12-01","Imagen",0.5,"No",NA
"Valencia, Francisco","Creador","M","Colombia","","1932","Revista Contemporánea. Publicación mensual","Dualidad","1904-12-01","Poesía",1,"No",NA
"López, Ismael","Creador","M","Colombia","1880","1962","Revista Contemporánea. Publicación mensual","Himno a la paz","1904-12-01","Poesía",1.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-12-01","Imagen",0.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-12-01","Imagen",0.5,"No",NA
"Schwob, Marcel","Creador","M","Francia","1867","1905","Revista Contemporánea. Publicación mensual","La Cruzada de los niños. Relación del Goliard","1904-12-01","Prosa Ficción",2.5,"Sí",NA
"Schwob, Marcel","Creador","M","Francia","1867","1905","Revista Contemporánea. Publicación mensual","la Cruzada de los niños. Relación del leproso","1904-12-01","Prosa Ficción",2.7,"Sí",NA
"Schwob, Marcel","Creador","M","Francia","1867","1905","Revista Contemporánea. Publicación mensual","La Cruzada de los niños. Relación del papa inocencio III","1904-12-01","Prosa Ficción",4.6,"Sí",NA
"Schwob, Marcel","Creador","M","Francia","1867","1905","Revista Contemporánea. Publicación mensual","La Cruzada de los niños. Relación de tres niñitos","1904-12-01","Prosa Ficción",2.2,"Sí",NA
"Schwob, Marcel","Creador","M","Francia","1867","1905","Revista Contemporánea. Publicación mensual","La Cruzada de los niños. Relación de Francisco Longuejoue,","1904-12-01","Prosa Ficción",1.7,"Sí",NA
"Schwob, Marcel","Creador","M","Francia","1867","1905","Revista Contemporánea. Publicación mensual","La Cruzada de los niños. Relación del Kalandar","1904-12-01","Prosa Ficción",2.6,"Sí",NA
"Schwob, Marcel","Creador","M","Francia","1867","1905","Revista Contemporánea. Publicación mensual","La Cruzada de los niños. Relación de la pequeña Alicia","1904-12-01","Prosa Ficción",1.4,"Sí",NA
"Schwob, Marcel","Creador","M","Francia","1867","1905","Revista Contemporánea. Publicación mensual","La Cruzada de los niños. Relación de papa Gregorio IX","1904-12-01","Prosa Ficción",3.8,"Sí",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-12-01","Imagen",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Notas","1904-12-01","Prosa No Ficción",3,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","Lafcadio Hearn","1904-12-01","Prosa No Ficción",2,"No",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","La Revista Franciscana de Colombia","1904-12-01","Reseña de revista",1.3,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","El plagio en el Japón","1904-12-01","Prosa No Ficción",2.3,"No",NA
"Magallanes Moure, Manuel","Creador","M","Chile","1878","1924","Revista Contemporánea. Publicación mensual","Matices","1904-12-01","Prosa No Ficción",1.8,"No",NA
"Grillo, Maximiliano","Creador","M","Colombia","1868","1949","Revista Contemporánea. Publicación mensual","Homenaje a Isaacs","1904-12-01","Prosa No Ficción",2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Intelligere","1904-12-01","Prosa No Ficción",1.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-12-01","Prosa No Ficción",0.5,"No",NA
"Londoño, Víctor Manuel","Reseñista","M","Colombia","1876","1936","Revista Contemporánea. Publicación mensual","Dublé Urrutia","1904-12-01","Prosa No Ficción",3.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Alfred Austin","1904-12-01","Prosa No Ficción",4.7,"Sí",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Revistas Colombianas. La Miscelánea","1904-12-01","Prosa No Ficción",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Revistas Colombianas. Lectura Amena","1904-12-01","Prosa No Ficción",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Revistas Colombianas. Revsta Nueva (Manizales)","1904-12-01","Prosa No Ficción",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Revistas Colombianas. El Escolar Colombiano (Bogotá)","1904-12-01","Prosa No Ficción",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Rondinelle Pellegrine","1904-12-01","Prosa No Ficción",0.6,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-12-01","Prosa No Ficción",0.4,"No",NA
"Schafi, Mirza","Creador","M","Azerbaiyán","1792","1804","Revista Contemporánea. Publicación mensual","Mirza Schaffy","1904-12-01","Prosa Ficción",1,"Sí",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1904-12-01","Publicidad",2,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","Revista Contemporánea. Publicación mensual","1905-01-01","Prosa No Ficción",2,"No",NA
"Borda, Francisco de Paula","Creador","M","Colombia","1842","1927","Revista Contemporánea. Publicación mensual","El peligro Amarillo y la América Latina","1905-01-01","Prosa No Ficción",9,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.3,"No",NA
"D'Annunzio, Gabriele","Creador","M","Italia","1863","1938","Revista Contemporánea. Publicación mensual","Las manos","1905-01-01","Poesía",1.6,"Sí","Valencia, Guillermo"
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.2,"No",NA
"Gaitán O., Gustavo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","La dicha positiva","1905-01-01","Prosa Ficción",1.7,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.2,"No",NA
"Posada, Eduardo","Creador","M","Colombia","1862","1942","Revista Contemporánea. Publicación mensual","Un antiguo padrón de Bogotá","1905-01-01","Prosa No Ficción",3.8,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Acosta, Javier","Creador","M","Colombia","","","Revista Contemporánea. Publicación mensual","Ecos del misterio. La laguna","1905-01-01","Poesía",1.8,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","La fuente","1905-01-01","Poesía",2.8,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.2,"No",NA
"Santamaría, Nepomuceno","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Predicción del tiempo (extractado para la  Revista Contemporánea)","1905-01-01","Prosa No Ficción",7.7,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.2,"No",NA
"Velásquez García, José","Creador","M","Colombia","1873","1950","Revista Contemporánea. Publicación mensual","El castillo de la sangre azul","1905-01-01","Poesía",2.7,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.2,"No",NA
"Pereira Gamba, Fortunato","Creador","M","Colombia","1866","1936","Revista Contemporánea. Publicación mensual","Las gemas en Colombia (granates, zircones y diamantes","1905-01-01","Prosa No Ficción",4.7,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.2,"No",NA
"Rodríguez O., Eugenio","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Lycia","1905-01-01","Prosa Ficción",1.7,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Rodríguez O., Eugenio","Crítico",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Impresionismo en Bogotá","1905-01-01","Prosa No Ficción",3.8,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Grillo, Maximiliano","Creador","M","Colombia","1868","1949","Revista Contemporánea. Publicación mensual","Guerras civiles en Colombia y Venezuela","1905-01-01","Prosa No Ficción",2.9,"No",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Leyendas para la infancia","1905-01-01","Reseña",1.5,"No",NA
"Londoño, Víctor Manuel","Creador","M","Colombia","1876","1936","Revista Contemporánea. Publicación mensual","Psicoligía del gato","1905-01-01","Prosa No Ficción",1.7,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Prosa No Ficción",0.7,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Prosa No Ficción",0.5,"No",NA
"Hinestroza Daza, Ricardo","Creador","M","Colombia","1874","1963","Revista Contemporánea. Publicación mensual","Revue Des Idées","1905-01-01","Prosa No Ficción",1.8,"No",NA
"Sanín Cano, Baldomero","Creador","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","Lectura y Arte","1905-01-01","Prosa No Ficción",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Información o enquete","1905-01-01","Prosa No Ficción",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Prosa No Ficción",2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-01-01","Imagen",0.1,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","Revista Contemporánea. Publicación mensual","1905-02-01","Prosa No Ficción",2,"No",NA
"Grillo, Maximiliano","Creador","M","Colombia","1868","1949","Revista Contemporánea. Publicación mensual","Juan Montalvo","1905-02-01","Prosa No Ficción",3.3,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.3,"No",NA
"Mockel, Albert","Creador","M","Bélgica","1866","1945","Revista Contemporánea. Publicación mensual","Foliana y Melivana","1905-02-01","Prosa Ficción",12.4,"Sí",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.3,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.3,"No",NA
"Sánchez, Alberto","Creador","M","Colombia","","","Revista Contemporánea. Publicación mensual","Notas de un impresionista","1905-02-01","Prosa Ficción",3.6,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.1,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","La tiranía del medio ambiente","1905-02-01","Prosa No Ficción",15.6,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.3,"No",NA
"Londoño, Víctor Manuel","Creador","M","Colombia","1876","1936","Revista Contemporánea. Publicación mensual","José M. Cantilo","1905-02-01","Prosa No Ficción",4.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.3,"No",NA
"Gómez, Jaime Alfredo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Un cuadro","1905-02-01","Prosa No Ficción",6.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.2,"No",NA
"Taunay, Vizconde de","Creador","M","Brasil","1843","1899","Revista Contemporánea. Publicación mensual","El llano y el llanero","1905-02-01","Prosa Ficción",14.5,"Sí",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.3,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.1,"No",NA
"Gourmont, Remy de","Creador","M","Francia","1858","1915","Revista Contemporánea. Publicación mensual","Un episodio del juicio final","1905-02-01","Prosa Ficción",2.5,"Sí",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.4,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","El peligro amarillo","1905-02-01","Prosa No Ficción",4.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Charles Wagner","1905-02-01","Prosa No Ficción",2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Enrico Panzacchi","1905-02-01","Prosa No Ficción",1.5,"No",NA
"Ortega, Alfredo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","El cincel","1905-02-01","Prosa No Ficción",1,"No",NA
"Heredia Márquez, Francisco de","Reseñista","M","Colombia","1889","1927","Revista Contemporánea. Publicación mensual","La campaña del general Pulido","1905-02-01","Reseña",2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Predicción del tiempo","1905-02-01","Prosa No Ficción",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Libros recibidos","1905-02-01","Prosa No Ficción",0.7,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Emporium (Revista mensual Ilustrada de Bergamo, Italia)","1905-02-01","Prosa No Ficción",1.3,"No",NA
"Heredia Márquez, Francisco de","Creador","M","Colombia","1889","1927","Revista Contemporánea. Publicación mensual","The critic","1905-02-01","Prosa No Ficción",4,"No",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Anales del Instituti de Manizales","1905-02-01","Reseña de revista",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Ateneo de Barranquilla","1905-02-01","Prosa No Ficción",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Repertorio Histórico","1905-02-01","Prosa No Ficción",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Revista Nueva Manizales","1905-02-01","Prosa No Ficción",0.4,"No",NA
"Fernández García, Alejandro","Creador","M","Venezuela","1876","1939","Revista Contemporánea. Publicación mensual","Ricardo Tirado Macías","1905-02-01","Prosa No Ficción",2.5,"No",NA
"Duque Uribe, Rafael","Reseñista","M","Colombia","","1862","Revista Contemporánea. Publicación mensual","Némesis","1905-02-01","Reseña",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Prosa No Ficción",1.6,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Prosa No Ficción",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual","Revistas Americanas","1905-02-01","Prosa No Ficción",0.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Imagen",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-02-01","Publicidad",2,"No",NA
"Sanín Cano, Baldomero","Director","M","Colombia","1861","1957","Revista Contemporánea. Publicación mensual","Revista Contemporánea. Publicación mensual","1905-03-01","Prosa No Ficción",2,"No",NA
"Pérez Triana, Santiago","Creador","M","Colombia","1858","1916","Revista Contemporánea. Publicación mensual","El peligro Amarillo en América","1905-03-01","Prosa No Ficción",11.9,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-03-01","Imagen",0.1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-03-01","Imagen",0.3,"No",NA
"Guyau, Jean-Marie","Creador","M","Francia","1854","1888","Revista Contemporánea. Publicación mensual","Análisis espectral","1905-03-01","Poesía",3.5,"Sí","Grillo, Maximiliano"
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-03-01","Imagen",0.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-03-01","Imagen",0.3,"No",NA
"Carrasquilla L., Juan de Dios","Creador","M","Colombia","1833","1908","Revista Contemporánea. Publicación mensual","Estudios Prehistóricos","1905-03-01","Prosa No Ficción",17.7,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-03-01","Imagen",0.3,"No",NA
"Grillo, Maximiliano","Creador","M","Colombia","1868","1949","Revista Contemporánea. Publicación mensual","Pierre de Querlon","1905-03-01","Prosa No Ficción",3.7,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-03-01","Imagen",0.3,"No",NA
"Posada, Eduardo","Creador","M","Colombia","1862","1942","Revista Contemporánea. Publicación mensual","Palacio Virreinal","1905-03-01","Prosa Ficción",21.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-03-01","Imagen",0.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"Revista Contemporánea. Publicación mensual",NA,"1905-03-01","Imagen",0.3,"No",NA
